Rk,Player,Pos,Age,Tm,G,GS,MP,FG,3P,DRB,TRB
217,Al Horford,C,36,BOS,63,63,30.5,3.6,2.3,5,6.2
218,Talen Horton-Tucker,SG,22,UTA,65,20,20.2,4,0.9,2.6,3.2
219,Danuel House Jr.,SF,29,PHI,56,5,14.4,1.7,0.7,1.5,1.7
220,Caleb Houstan,SF,20,ORL,51,4,15.9,1.3,0.9,1.3,1.9
221,Trevor Hudgins,PG,23,HOU,5,0,5.6,0.4,0.4,0,0
222,Kevin Huerter,SG,24,SAC,75,75,29.4,5.6,2.7,2.8,3.3
223,Jay Huff,C,24,WAS,7,0,13.6,2.1,0.9,2.1,3
224,De'Andre Hunter,SF,25,ATL,67,67,31.7,5.7,1.5,3.6,4.2
225,Bones Hyland,PG,22,TOT,56,1,19.4,4.1,2.1,2.1,2.4
225,Bones Hyland,PG,22,DEN,42,1,19.5,4.1,2.2,1.8,2
225,Bones Hyland,PG,22,LAC,14,0,18.9,3.9,1.9,2.8,3.5
226,Serge Ibaka,C,33,MIL,16,0,11.6,1.6,0.4,1.8,2.8
227,Andre Iguodala,SF,39,GSW,8,0,14.1,0.9,0.1,1.8,2.1
228,Joe Ingles,SF,35,MIL,46,0,22.7,2.3,1.8,2.5,2.8
229,Brandon Ingram,SF,25,NOP,45,45,34.2,9,1.4,5,5.5
230,Kyrie Irving,PG,30,TOT,60,60,37.4,9.9,3.1,4.1,5.1
230,Kyrie Irving,PG,30,BRK,40,40,37,10,3.3,4.2,5.1
230,Kyrie Irving,PG,30,DAL,20,20,38.2,9.8,2.9,4,5
231,Jonathan Isaac,PF,25,ORL,11,0,11.3,2,0.5,2.6,4
232,Jaden Ivey,SG,20,DET,74,73,31.1,5.5,1.6,2.9,3.9
233,Frank Jackson,PG,24,UTA,1,0,5,0,0,1,2
234,Isaiah Jackson,C,21,IND,63,12,16.5,2.8,0,2.7,4.5
235,Jaren Jackson Jr.,C,23,MEM,63,63,28.4,6.6,1.6,5,6.8
236,Justin Jackson,SF,27,BOS,23,0,4.7,0.3,0.2,0.7,0.7
237,Quenton Jackson,PG,24,WAS,9,0,15,2.1,0.1,0.7,0.9
238,Reggie Jackson,PG,32,TOT,68,40,24.4,3.9,1.4,1.8,2.1
238,Reggie Jackson,PG,32,LAC,52,38,25.7,4.1,1.5,1.8,2.2
238,Reggie Jackson,PG,32,DEN,16,2,19.9,3.1,1.2,1.6,1.8
239,LeBron James,PF,38,LAL,55,54,35.5,11.1,2.2,7.1,8.3
240,Ty Jerome,SG,25,GSW,45,2,18.1,2.6,0.8,1.6,1.7
241,Isaiah Joe,SG,23,OKC,73,10,19.1,3.1,2.2,2,2.4
242,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,0,2,2.5
243,Cameron Johnson,PF,26,TOT,42,41,28.5,5.3,2.5,3.6,4.4
243,Cameron Johnson,PF,26,PHO,17,16,25.2,4.8,2.6,3,3.8
243,Cameron Johnson,PF,26,BRK,25,25,30.8,5.6,2.3,4,4.8
244,Jalen Johnson,SF,21,ATL,70,6,14.9,2.3,0.4,3.3,4
245,James Johnson,PF,35,IND,18,1,9,1.2,0.2,1.4,1.7
246,Keldon Johnson,SF,23,SAS,63,63,32.7,8,2.1,4.2,5
247,Keon Johnson,SG,20,POR,40,0,10.4,1.7,0.7,0.8,1.1
248,Stanley Johnson,SF,26,SAS,30,0,15.6,2.2,0.6,2.4,3.2
249,Nikola Joki?,C,27,DEN,69,69,33.7,9.4,0.8,9.4,11.8
250,Carlik Jones,PG,25,CHI,7,0,8,0.9,0.4,0.6,0.7
251,Damian Jones,C,27,TOT,41,1,11.6,1.3,0.2,2,3
251,Damian Jones,C,27,LAL,22,1,8,0.9,0,1.7,2.5
251,Damian Jones,C,27,UTA,19,0,15.8,1.8,0.5,2.3,3.5
252,Derrick Jones Jr.,SF,25,CHI,64,0,14,1.8,0.4,1.5,2.4
